=== 03:46:41
rule 17 | compiling | - attempts | The invoice's issuer_nif, normalised (uppercase, no spaces/h
=== 03:55:30
rule 17 | active | 1 attempts | The invoice's issuer_nif, normalised (uppercase, no spaces/h
rule 18 | active | 1 attempts | The invoice's iban, normalised (uppercase, no spaces), must 
rule 19 | active | 1 attempts | The invoice's purchase_order, normalised (uppercase, no spac
rule 20 | active | 1 attempts | The orders row for the invoice's purchase_order must have or
rule 21 | active | 1 attempts | The invoice's total must match the orders.total_amount of th
rule 22 | active | 1 attempts | The invoice's vat_amount must match base * vat_rate / 100 wi
rule 23 | active | 1 attempts | The invoice's total must match base + vat_amount within ±0.0
rule 24 | active | 1 attempts | The invoice's date must be a valid calendar date: it must pa
rule 25 | active | 1 attempts | The invoice's date must not be later than parameters.cut_off
rule 26 | active | 1 attempts | The erp entry for the invoice's purchase_order (erp.purchase
rule 27 | active | 1 attempts | No erp entry (in the erp source or in others) with the same 
=== 03:55:40
rule 17 | active | 1 attempts | The invoice's issuer_nif, normalised (uppercase, no spaces/h
rule 18 | active | 1 attempts | The invoice's iban, normalised (uppercase, no spaces), must 
rule 19 | active | 1 attempts | The invoice's purchase_order, normalised (uppercase, no spac
rule 20 | active | 1 attempts | The orders row for the invoice's purchase_order must have or
rule 21 | active | 1 attempts | The invoice's total must match the orders.total_amount of th
rule 22 | active | 1 attempts | The invoice's vat_amount must match base * vat_rate / 100 wi
rule 23 | active | 1 attempts | The invoice's total must match base + vat_amount within ±0.0
rule 24 | active | 1 attempts | The invoice's date must be a valid calendar date: it must pa
rule 25 | active | 1 attempts | The invoice's date must not be later than parameters.cut_off
rule 26 | active | 1 attempts | The erp entry for the invoice's purchase_order (erp.purchase
rule 27 | active | 1 attempts | No erp entry (in the erp source or in others) with the same 
=== 03:55:50
rule 17 | active | 1 attempts | The invoice's issuer_nif, normalised (uppercase, no spaces/h
rule 18 | active | 1 attempts | The invoice's iban, normalised (uppercase, no spaces), must 
rule 19 | active | 1 attempts | The invoice's purchase_order, normalised (uppercase, no spac
rule 20 | active | 1 attempts | The orders row for the invoice's purchase_order must have or
rule 21 | active | 1 attempts | The invoice's total must match the orders.total_amount of th
rule 22 | active | 1 attempts | The invoice's vat_amount must match base * vat_rate / 100 wi
rule 23 | active | 1 attempts | The invoice's total must match base + vat_amount within ±0.0
rule 24 | active | 1 attempts | The invoice's date must be a valid calendar date: it must pa
rule 25 | active | 1 attempts | The invoice's date must not be later than parameters.cut_off
rule 26 | active | 1 attempts | The erp entry for the invoice's purchase_order (erp.purchase
rule 27 | active | 1 attempts | No erp entry (in the erp source or in others) with the same 
=== 03:56:00
rule 17 | active | 1 attempts | The invoice's issuer_nif, normalised (uppercase, no spaces/h
rule 18 | active | 1 attempts | The invoice's iban, normalised (uppercase, no spaces), must 
rule 19 | active | 1 attempts | The invoice's purchase_order, normalised (uppercase, no spac
rule 20 | active | 1 attempts | The orders row for the invoice's purchase_order must have or
rule 21 | active | 1 attempts | The invoice's total must match the orders.total_amount of th
rule 22 | active | 1 attempts | The invoice's vat_amount must match base * vat_rate / 100 wi
rule 23 | active | 1 attempts | The invoice's total must match base + vat_amount within ±0.0
rule 24 | active | 1 attempts | The invoice's date must be a valid calendar date: it must pa
rule 25 | active | 1 attempts | The invoice's date must not be later than parameters.cut_off
rule 26 | active | 1 attempts | The erp entry for the invoice's purchase_order (erp.purchase
rule 27 | active | 1 attempts | No erp entry (in the erp source or in others) with the same 
=== 03:56:10
rule 17 | active | 1 attempts | The invoice's issuer_nif, normalised (uppercase, no spaces/h
rule 18 | active | 1 attempts | The invoice's iban, normalised (uppercase, no spaces), must 
rule 19 | active | 1 attempts | The invoice's purchase_order, normalised (uppercase, no spac
rule 20 | active | 1 attempts | The orders row for the invoice's purchase_order must have or
rule 21 | active | 1 attempts | The invoice's total must match the orders.total_amount of th
rule 22 | active | 1 attempts | The invoice's vat_amount must match base * vat_rate / 100 wi
rule 23 | active | 1 attempts | The invoice's total must match base + vat_amount within ±0.0
rule 24 | active | 1 attempts | The invoice's date must be a valid calendar date: it must pa
rule 25 | active | 1 attempts | The invoice's date must not be later than parameters.cut_off
rule 26 | active | 1 attempts | The erp entry for the invoice's purchase_order (erp.purchase
rule 27 | active | 1 attempts | No erp entry (in the erp source or in others) with the same 
=== 03:56:20
rule 17 | active | 1 attempts | The invoice's issuer_nif, normalised (uppercase, no spaces/h
rule 18 | active | 1 attempts | The invoice's iban, normalised (uppercase, no spaces), must 
rule 19 | active | 1 attempts | The invoice's purchase_order, normalised (uppercase, no spac
rule 20 | active | 1 attempts | The orders row for the invoice's purchase_order must have or
rule 21 | active | 1 attempts | The invoice's total must match the orders.total_amount of th
rule 22 | active | 1 attempts | The invoice's vat_amount must match base * vat_rate / 100 wi
rule 23 | active | 1 attempts | The invoice's total must match base + vat_amount within ±0.0
rule 24 | active | 1 attempts | The invoice's date must be a valid calendar date: it must pa
rule 25 | active | 1 attempts | The invoice's date must not be later than parameters.cut_off
rule 26 | active | 1 attempts | The erp entry for the invoice's purchase_order (erp.purchase
rule 27 | active | 1 attempts | No erp entry (in the erp source or in others) with the same 
=== 03:56:31
rule 17 | active | 1 attempts | The invoice's issuer_nif, normalised (uppercase, no spaces/h
rule 18 | active | 1 attempts | The invoice's iban, normalised (uppercase, no spaces), must 
rule 19 | active | 1 attempts | The invoice's purchase_order, normalised (uppercase, no spac
rule 20 | active | 1 attempts | The orders row for the invoice's purchase_order must have or
rule 21 | active | 1 attempts | The invoice's total must match the orders.total_amount of th
rule 22 | active | 1 attempts | The invoice's vat_amount must match base * vat_rate / 100 wi
rule 23 | active | 1 attempts | The invoice's total must match base + vat_amount within ±0.0
rule 24 | active | 1 attempts | The invoice's date must be a valid calendar date: it must pa
rule 25 | active | 1 attempts | The invoice's date must not be later than parameters.cut_off
rule 26 | active | 1 attempts | The erp entry for the invoice's purchase_order (erp.purchase
rule 27 | active | 1 attempts | No erp entry (in the erp source or in others) with the same 
=== 03:56:41
rule 17 | active | 1 attempts | The invoice's issuer_nif, normalised (uppercase, no spaces/h
rule 18 | active | 1 attempts | The invoice's iban, normalised (uppercase, no spaces), must 
rule 19 | active | 1 attempts | The invoice's purchase_order, normalised (uppercase, no spac
rule 20 | active | 1 attempts | The orders row for the invoice's purchase_order must have or
rule 21 | active | 1 attempts | The invoice's total must match the orders.total_amount of th
rule 22 | active | 1 attempts | The invoice's vat_amount must match base * vat_rate / 100 wi
rule 23 | active | 1 attempts | The invoice's total must match base + vat_amount within ±0.0
rule 24 | active | 1 attempts | The invoice's date must be a valid calendar date: it must pa
rule 25 | active | 1 attempts | The invoice's date must not be later than parameters.cut_off
rule 26 | active | 1 attempts | The erp entry for the invoice's purchase_order (erp.purchase
rule 27 | active | 1 attempts | No erp entry (in the erp source or in others) with the same 
=== 03:56:51
rule 17 | active | 1 attempts | The invoice's issuer_nif, normalised (uppercase, no spaces/h
rule 18 | active | 1 attempts | The invoice's iban, normalised (uppercase, no spaces), must 
rule 19 | active | 1 attempts | The invoice's purchase_order, normalised (uppercase, no spac
rule 20 | active | 1 attempts | The orders row for the invoice's purchase_order must have or
rule 21 | active | 1 attempts | The invoice's total must match the orders.total_amount of th
rule 22 | active | 1 attempts | The invoice's vat_amount must match base * vat_rate / 100 wi
rule 23 | active | 1 attempts | The invoice's total must match base + vat_amount within ±0.0
rule 24 | active | 1 attempts | The invoice's date must be a valid calendar date: it must pa
rule 25 | active | 1 attempts | The invoice's date must not be later than parameters.cut_off
rule 26 | active | 1 attempts | The erp entry for the invoice's purchase_order (erp.purchase
rule 27 | active | 1 attempts | No erp entry (in the erp source or in others) with the same 
=== 03:57:01
rule 17 | active | 1 attempts | The invoice's issuer_nif, normalised (uppercase, no spaces/h
rule 18 | active | 1 attempts | The invoice's iban, normalised (uppercase, no spaces), must 
rule 19 | active | 1 attempts | The invoice's purchase_order, normalised (uppercase, no spac
rule 20 | active | 1 attempts | The orders row for the invoice's purchase_order must have or
rule 21 | active | 1 attempts | The invoice's total must match the orders.total_amount of th
rule 22 | active | 1 attempts | The invoice's vat_amount must match base * vat_rate / 100 wi
rule 23 | active | 1 attempts | The invoice's total must match base + vat_amount within ±0.0
rule 24 | active | 1 attempts | The invoice's date must be a valid calendar date: it must pa
rule 25 | active | 1 attempts | The invoice's date must not be later than parameters.cut_off
rule 26 | active | 1 attempts | The erp entry for the invoice's purchase_order (erp.purchase
rule 27 | active | 1 attempts | No erp entry (in the erp source or in others) with the same 
=== 03:57:11
rule 17 | active | 1 attempts | The invoice's issuer_nif, normalised (uppercase, no spaces/h
rule 18 | active | 1 attempts | The invoice's iban, normalised (uppercase, no spaces), must 
rule 19 | active | 1 attempts | The invoice's purchase_order, normalised (uppercase, no spac
rule 20 | active | 1 attempts | The orders row for the invoice's purchase_order must have or
rule 21 | active | 1 attempts | The invoice's total must match the orders.total_amount of th
rule 22 | active | 1 attempts | The invoice's vat_amount must match base * vat_rate / 100 wi
rule 23 | active | 1 attempts | The invoice's total must match base + vat_amount within ±0.0
rule 24 | active | 1 attempts | The invoice's date must be a valid calendar date: it must pa
rule 25 | active | 1 attempts | The invoice's date must not be later than parameters.cut_off
rule 26 | active | 1 attempts | The erp entry for the invoice's purchase_order (erp.purchase
rule 27 | active | 1 attempts | No erp entry (in the erp source or in others) with the same 
=== 03:57:21
rule 17 | active | 1 attempts | The invoice's issuer_nif, normalised (uppercase, no spaces/h
rule 18 | active | 1 attempts | The invoice's iban, normalised (uppercase, no spaces), must 
rule 19 | active | 1 attempts | The invoice's purchase_order, normalised (uppercase, no spac
rule 20 | active | 1 attempts | The orders row for the invoice's purchase_order must have or
rule 21 | active | 1 attempts | The invoice's total must match the orders.total_amount of th
rule 22 | active | 1 attempts | The invoice's vat_amount must match base * vat_rate / 100 wi
rule 23 | active | 1 attempts | The invoice's total must match base + vat_amount within ±0.0
rule 24 | active | 1 attempts | The invoice's date must be a valid calendar date: it must pa
rule 25 | active | 1 attempts | The invoice's date must not be later than parameters.cut_off
rule 26 | active | 1 attempts | The erp entry for the invoice's purchase_order (erp.purchase
rule 27 | active | 1 attempts | No erp entry (in the erp source or in others) with the same 
=== 03:57:32
rule 17 | active | 1 attempts | The invoice's issuer_nif, normalised (uppercase, no spaces/h
rule 18 | active | 1 attempts | The invoice's iban, normalised (uppercase, no spaces), must 
rule 19 | active | 1 attempts | The invoice's purchase_order, normalised (uppercase, no spac
rule 20 | active | 1 attempts | The orders row for the invoice's purchase_order must have or
rule 21 | active | 1 attempts | The invoice's total must match the orders.total_amount of th
rule 22 | active | 1 attempts | The invoice's vat_amount must match base * vat_rate / 100 wi
rule 23 | active | 1 attempts | The invoice's total must match base + vat_amount within ±0.0
rule 24 | active | 1 attempts | The invoice's date must be a valid calendar date: it must pa
rule 25 | active | 1 attempts | The invoice's date must not be later than parameters.cut_off
rule 26 | active | 1 attempts | The erp entry for the invoice's purchase_order (erp.purchase
rule 27 | active | 1 attempts | No erp entry (in the erp source or in others) with the same 
=== 03:57:42
rule 17 | active | 1 attempts | The invoice's issuer_nif, normalised (uppercase, no spaces/h
rule 18 | active | 1 attempts | The invoice's iban, normalised (uppercase, no spaces), must 
rule 19 | active | 1 attempts | The invoice's purchase_order, normalised (uppercase, no spac
rule 20 | active | 1 attempts | The orders row for the invoice's purchase_order must have or
rule 21 | active | 1 attempts | The invoice's total must match the orders.total_amount of th
rule 22 | active | 1 attempts | The invoice's vat_amount must match base * vat_rate / 100 wi
rule 23 | active | 1 attempts | The invoice's total must match base + vat_amount within ±0.0
rule 24 | active | 1 attempts | The invoice's date must be a valid calendar date: it must pa
rule 25 | active | 1 attempts | The invoice's date must not be later than parameters.cut_off
rule 26 | active | 1 attempts | The erp entry for the invoice's purchase_order (erp.purchase
rule 27 | active | 1 attempts | No erp entry (in the erp source or in others) with the same 
=== 03:57:52
rule 17 | active | 1 attempts | The invoice's issuer_nif, normalised (uppercase, no spaces/h
rule 18 | active | 1 attempts | The invoice's iban, normalised (uppercase, no spaces), must 
rule 19 | active | 1 attempts | The invoice's purchase_order, normalised (uppercase, no spac
rule 20 | active | 1 attempts | The orders row for the invoice's purchase_order must have or
rule 21 | active | 1 attempts | The invoice's total must match the orders.total_amount of th
rule 22 | active | 1 attempts | The invoice's vat_amount must match base * vat_rate / 100 wi
rule 23 | active | 1 attempts | The invoice's total must match base + vat_amount within ±0.0
rule 24 | active | 1 attempts | The invoice's date must be a valid calendar date: it must pa
rule 25 | active | 1 attempts | The invoice's date must not be later than parameters.cut_off
rule 26 | active | 1 attempts | The erp entry for the invoice's purchase_order (erp.purchase
rule 27 | active | 1 attempts | No erp entry (in the erp source or in others) with the same 
=== 03:58:02
rule 17 | active | 1 attempts | The invoice's issuer_nif, normalised (uppercase, no spaces/h
rule 18 | active | 1 attempts | The invoice's iban, normalised (uppercase, no spaces), must 
rule 19 | active | 1 attempts | The invoice's purchase_order, normalised (uppercase, no spac
rule 20 | active | 1 attempts | The orders row for the invoice's purchase_order must have or
rule 21 | active | 1 attempts | The invoice's total must match the orders.total_amount of th
rule 22 | active | 1 attempts | The invoice's vat_amount must match base * vat_rate / 100 wi
rule 23 | active | 1 attempts | The invoice's total must match base + vat_amount within ±0.0
rule 24 | active | 1 attempts | The invoice's date must be a valid calendar date: it must pa
rule 25 | active | 1 attempts | The invoice's date must not be later than parameters.cut_off
rule 26 | active | 1 attempts | The erp entry for the invoice's purchase_order (erp.purchase
rule 27 | active | 1 attempts | No erp entry (in the erp source or in others) with the same 
=== 03:58:12
rule 17 | active | 1 attempts | The invoice's issuer_nif, normalised (uppercase, no spaces/h
rule 18 | active | 1 attempts | The invoice's iban, normalised (uppercase, no spaces), must 
rule 19 | active | 1 attempts | The invoice's purchase_order, normalised (uppercase, no spac
rule 20 | active | 1 attempts | The orders row for the invoice's purchase_order must have or
rule 21 | active | 1 attempts | The invoice's total must match the orders.total_amount of th
rule 22 | active | 1 attempts | The invoice's vat_amount must match base * vat_rate / 100 wi
rule 23 | active | 1 attempts | The invoice's total must match base + vat_amount within ±0.0
rule 24 | active | 1 attempts | The invoice's date must be a valid calendar date: it must pa
rule 25 | active | 1 attempts | The invoice's date must not be later than parameters.cut_off
rule 26 | active | 1 attempts | The erp entry for the invoice's purchase_order (erp.purchase
rule 27 | active | 1 attempts | No erp entry (in the erp source or in others) with the same 
=== 03:58:22
rule 17 | active | 1 attempts | The invoice's issuer_nif, normalised (uppercase, no spaces/h
rule 18 | active | 1 attempts | The invoice's iban, normalised (uppercase, no spaces), must 
rule 19 | active | 1 attempts | The invoice's purchase_order, normalised (uppercase, no spac
rule 20 | active | 1 attempts | The orders row for the invoice's purchase_order must have or
rule 21 | active | 1 attempts | The invoice's total must match the orders.total_amount of th
rule 22 | active | 1 attempts | The invoice's vat_amount must match base * vat_rate / 100 wi
rule 23 | active | 1 attempts | The invoice's total must match base + vat_amount within ±0.0
rule 24 | active | 1 attempts | The invoice's date must be a valid calendar date: it must pa
rule 25 | active | 1 attempts | The invoice's date must not be later than parameters.cut_off
rule 26 | active | 1 attempts | The erp entry for the invoice's purchase_order (erp.purchase
rule 27 | active | 1 attempts | No erp entry (in the erp source or in others) with the same 
=== 03:58:32
rule 17 | active | 1 attempts | The invoice's issuer_nif, normalised (uppercase, no spaces/h
rule 18 | active | 1 attempts | The invoice's iban, normalised (uppercase, no spaces), must 
rule 19 | active | 1 attempts | The invoice's purchase_order, normalised (uppercase, no spac
rule 20 | active | 1 attempts | The orders row for the invoice's purchase_order must have or
rule 21 | active | 1 attempts | The invoice's total must match the orders.total_amount of th
rule 22 | active | 1 attempts | The invoice's vat_amount must match base * vat_rate / 100 wi
rule 23 | active | 1 attempts | The invoice's total must match base + vat_amount within ±0.0
rule 24 | active | 1 attempts | The invoice's date must be a valid calendar date: it must pa
rule 25 | active | 1 attempts | The invoice's date must not be later than parameters.cut_off
rule 26 | active | 1 attempts | The erp entry for the invoice's purchase_order (erp.purchase
rule 27 | active | 1 attempts | No erp entry (in the erp source or in others) with the same 
=== 03:58:43
rule 17 | active | 1 attempts | The invoice's issuer_nif, normalised (uppercase, no spaces/h
rule 18 | active | 1 attempts | The invoice's iban, normalised (uppercase, no spaces), must 
rule 19 | active | 1 attempts | The invoice's purchase_order, normalised (uppercase, no spac
rule 20 | active | 1 attempts | The orders row for the invoice's purchase_order must have or
rule 21 | active | 1 attempts | The invoice's total must match the orders.total_amount of th
rule 22 | active | 1 attempts | The invoice's vat_amount must match base * vat_rate / 100 wi
rule 23 | active | 1 attempts | The invoice's total must match base + vat_amount within ±0.0
rule 24 | active | 1 attempts | The invoice's date must be a valid calendar date: it must pa
rule 25 | active | 1 attempts | The invoice's date must not be later than parameters.cut_off
rule 26 | active | 1 attempts | The erp entry for the invoice's purchase_order (erp.purchase
rule 27 | active | 1 attempts | No erp entry (in the erp source or in others) with the same 
=== 03:58:53
rule 17 | active | 1 attempts | The invoice's issuer_nif, normalised (uppercase, no spaces/h
rule 18 | active | 1 attempts | The invoice's iban, normalised (uppercase, no spaces), must 
rule 19 | active | 1 attempts | The invoice's purchase_order, normalised (uppercase, no spac
rule 20 | active | 1 attempts | The orders row for the invoice's purchase_order must have or
rule 21 | active | 1 attempts | The invoice's total must match the orders.total_amount of th
rule 22 | active | 1 attempts | The invoice's vat_amount must match base * vat_rate / 100 wi
rule 23 | active | 1 attempts | The invoice's total must match base + vat_amount within ±0.0
rule 24 | active | 1 attempts | The invoice's date must be a valid calendar date: it must pa
rule 25 | active | 1 attempts | The invoice's date must not be later than parameters.cut_off
rule 26 | active | 1 attempts | The erp entry for the invoice's purchase_order (erp.purchase
rule 27 | active | 1 attempts | No erp entry (in the erp source or in others) with the same 
01:58:43 | decision |  |  |  |  |  |  | 
01:58:43 | decision |  |  |  |  |  |  | 
01:58:43 | decision |  |  |  |  |  |  | 
01:58:43 | decision |  |  |  |  |  |  | 
01:58:43 | decision |  |  |  |  |  |  | 
01:58:43 | decision |  |  |  |  |  |  | 
01:58:43 | decision |  |  |  |  |  |  | 
01:58:43 | decision |  |  |  |  |  |  | 
01:58:43 | decision |  |  |  |  |  |  | 
01:58:43 | decision |  |  |  |  |  |  | 
01:58:43 | decision |  |  |  |  |  |  | 
01:58:43 | decision |  |  |  |  |  |  | 
01:58:43 | decision |  |  |  |  |  |  | 
01:58:43 | decision |  |  |  |  |  |  | 
01:58:43 | decision |  |  |  |  |  |  | 
01:58:43 | decision |  |  |  |  |  |  | 
01:58:43 | decision |  |  |  |  |  |  | 
01:58:43 | decision |  |  |  |  |  |  | 
01:58:43 | decision |  |  |  |  |  |  | 
01:58:43 | decision |  |  |  |  |  |  | 
01:58:43 | decision |  |  |  |  |  |  | 
01:58:43 | decision |  |  |  |  |  |  | 
01:58:43 | decision |  |  |  |  |  |  | 
01:58:43 | decision |  |  |  |  |  |  | 
01:58:43 | decision |  |  |  |  |  |  | 
01:58:43 | decision |  |  |  |  |  |  | 
01:58:43 | decision |  |  |  |  |  |  | 
01:58:43 | decision |  |  |  |  |  |  | 
01:58:43 | decision |  |  |  |  |  |  | 
01:58:43 | decision |  |  |  |  |  |  | 
01:58:43 | decision |  |  |  |  |  |  | 
01:58:43 | decision |  |  |  |  |  |  | 
01:58:43 | decision |  |  |  |  |  |  | 
01:58:43 | decision |  |  |  |  |  |  | 
01:58:43 | decision |  |  |  |  |  |  | 
01:58:43 | decision |  |  |  |  |  |  | 
01:58:43 | decision |  |  |  |  |  |  | 
01:58:43 | decision |  |  |  |  |  |  | 
01:58:43 | decision |  |  |  |  |  |  | 
01:58:43 | decision |  |  |  |  |  |  | 
01:58:43 | decision |  |  |  |  |  |  | 
01:58:43 | decision |  |  |  |  |  |  | 
01:58:43 | decision |  |  |  |  |  |  | 
01:58:43 | decision |  |  |  |  |  |  | 
01:58:43 | decision |  |  |  |  |  |  | 
01:58:43 | decision |  |  |  |  |  |  | 
01:58:43 | decision |  |  |  |  |  |  | 
01:58:43 | decision |  |  |  |  |  |  | 
01:58:43 | decision |  |  |  |  |  |  | 
01:58:43 | decision |  |  |  |  |  |  | 
01:58:43 | decision |  |  |  |  |  |  | 
01:58:43 | decision |  |  |  |  |  |  | 
01:58:43 | decision |  |  |  |  |  |  | 
01:58:43 | decision |  |  |  |  |  |  | 
01:58:43 | decision |  |  |  |  |  |  | 
01:58:43 | decision |  |  |  |  |  |  | 
01:58:43 | decision |  |  |  |  |  |  | 
01:58:43 | decision |  |  |  |  |  |  | 
01:58:43 | decision |  |  |  |  |  |  | 
01:58:43 | decision |  |  |  |  |  |  | 
01:58:43 | decision |  |  |  |  |  |  | 
01:58:43 | decision |  |  |  |  |  |  | 
01:58:43 | decision |  |  |  |  |  |  | 
01:58:43 | decision |  |  |  |  |  |  | 
01:58:43 | decision |  |  |  |  |  |  | 
01:58:43 | decision |  |  |  |  |  |  | 
01:58:43 | decision |  |  |  |  |  |  | 
01:58:43 | decision |  |  |  |  |  |  | 
01:58:43 | decision |  |  |  |  |  |  | 
01:58:43 | decision |  |  |  |  |  |  | 
01:58:43 | decision |  |  |  |  |  |  | 
01:58:43 | decision |  |  |  |  |  |  | 
01:58:43 | decision |  |  |  |  |  |  | 
01:58:43 | decision |  |  |  |  |  |  | 
01:58:43 | decision |  |  |  |  |  |  | 
01:58:43 | decision |  |  |  |  |  |  | 
01:58:43 | decision |  |  |  |  |  |  | 
01:58:43 | decision |  |  |  |  |  |  | 
01:58:43 | decision |  |  |  |  |  |  | 
01:58:43 | decision |  |  |  |  |  |  | 
01:58:43 | decision |  |  |  |  |  |  | 
01:58:43 | decision |  |  |  |  |  |  | 
01:58:43 | decision |  |  |  |  |  |  | 
01:58:43 | decision |  |  |  |  |  |  | 
01:58:43 | decision |  |  |  |  |  |  | 
01:58:43 | decision |  |  |  |  |  |  | 
01:58:43 | decision |  |  |  |  |  |  | 
01:58:43 | decision |  |  |  |  |  |  | 
01:58:43 | decision |  |  |  |  |  |  | 
01:58:43 | decision |  |  |  |  |  |  | 
01:58:43 | decision |  |  |  |  |  |  | 
01:58:43 | decision |  |  |  |  |  |  | 
01:58:43 | decision |  |  |  |  |  |  | 
01:58:43 | decision |  |  |  |  |  |  | 
01:58:43 | decision |  |  |  |  |  |  | 
01:58:43 | decision |  |  |  |  |  |  | 
01:58:43 | decision |  |  |  |  |  |  | 
01:58:43 | decision |  |  |  |  |  |  | 
01:58:43 | decision |  |  |  |  |  |  | 
01:58:43 | decision |  |  |  |  |  |  | 
01:58:43 | decision |  |  |  |  |  |  | 
01:58:43 | decision |  |  |  |  |  |  | 
01:58:43 | decision |  |  |  |  |  |  | 
01:58:43 | decision |  |  |  |  |  |  | 
01:58:43 | decision |  |  |  |  |  |  | 
01:58:43 | decision |  |  |  |  |  |  | 
01:58:43 | decision |  |  |  |  |  |  | 
01:58:43 | decision |  |  |  |  |  |  | 
01:58:43 | decision |  |  |  |  |  |  | 
01:58:43 | decision |  |  |  |  |  |  | 
01:58:43 | decision |  |  |  |  |  |  | 
01:58:43 | decision |  |  |  |  |  |  | 
01:58:43 | decision |  |  |  |  |  |  | 
01:58:43 | decision |  |  |  |  |  |  | 
01:58:43 | decision |  |  |  |  |  |  | 
01:58:43 | decision |  |  |  |  |  |  | 
01:58:43 | decision |  |  |  |  |  |  | 
01:58:43 | decision |  |  |  |  |  |  | 
01:58:43 | decision |  |  |  |  |  |  | 
01:58:43 | decision |  |  |  |  |  |  | 
01:58:43 | decision |  |  |  |  |  |  | 
01:58:43 | decision |  |  |  |  |  |  | 
01:58:43 | decision |  |  |  |  |  |  | 
01:58:43 | decision |  |  |  |  |  |  | 
01:58:43 | decision |  |  |  |  |  |  | 
01:58:43 | decision |  |  |  |  |  |  | 
01:58:43 | decision |  |  |  |  |  |  | 
01:58:43 | decision |  |  |  |  |  |  | 
01:58:43 | decision |  |  |  |  |  |  | 
01:58:43 | decision |  |  |  |  |  |  | 
01:58:43 | decision |  |  |  |  |  |  | 
01:58:43 | decision |  |  |  |  |  |  | 
01:58:43 | decision |  |  |  |  |  |  | 
01:58:43 | decision |  |  |  |  |  |  | 
01:58:43 | decision |  |  |  |  |  |  | 
01:58:43 | decision |  |  |  |  |  |  | 
01:58:43 | decision |  |  |  |  |  |  | 
01:58:43 | decision |  |  |  |  |  |  | 
01:58:43 | decision |  |  |  |  |  |  | 
01:58:43 | decision |  |  |  |  |  |  | 
01:58:43 | decision |  |  |  |  |  |  | 
01:58:43 | decision |  |  |  |  |  |  | 
01:58:43 | decision |  |  |  |  |  |  | 
01:58:43 | decision |  |  |  |  |  |  | 
01:58:43 | decision |  |  |  |  |  |  | 
01:58:43 | decision |  |  |  |  |  |  | 
01:58:43 | decision |  |  |  |  |  |  | 
01:58:43 | decision |  |  |  |  |  |  | 
01:58:43 | decision |  |  |  |  |  |  | 
01:58:43 | decision |  |  |  |  |  |  | 
01:58:43 | decision |  |  |  |  |  |  | 
01:58:43 | decision |  |  |  |  |  |  | 
01:58:43 | decision |  |  |  |  |  |  | 
01:58:43 | decision |  |  |  |  |  |  | 
01:58:43 | decision |  |  |  |  |  |  | 
01:58:43 | decision |  |  |  |  |  |  | 
01:58:43 | decision |  |  |  |  |  |  | 
01:58:43 | decision |  |  |  |  |  |  | 
01:58:43 | decision |  |  |  |  |  |  | 
01:58:43 | decision |  |  |  |  |  |  | 
01:58:43 | decision |  |  |  |  |  |  | 
01:58:43 | decision |  |  |  |  |  |  | 
01:58:43 | decision |  |  |  |  |  |  | 
01:58:43 | decision |  |  |  |  |  |  | 
01:58:43 | decision |  |  |  |  |  |  | 
01:58:43 | decision |  |  |  |  |  |  | 
01:58:43 | decision |  |  |  |  |  |  | 
01:58:43 | decision |  |  |  |  |  |  | 
01:58:43 | decision |  |  |  |  |  |  | 
01:58:43 | decision |  |  |  |  |  |  | 
01:58:43 | decision |  |  |  |  |  |  | 
01:58:43 | decision |  |  |  |  |  |  | 
01:58:43 | decision |  |  |  |  |  |  | 
01:58:43 | decision |  |  |  |  |  |  | 
01:58:43 | decision |  |  |  |  |  |  | 
01:58:43 | decision |  |  |  |  |  |  | 
01:58:43 | decision |  |  |  |  |  |  | 
01:58:43 | decision |  |  |  |  |  |  | 
01:58:43 | decision |  |  |  |  |  |  | 
01:58:43 | decision |  |  |  |  |  |  | 
01:58:43 | decision |  |  |  |  |  |  | 
01:58:43 | decision |  |  |  |  |  |  | 
01:58:43 | decision |  |  |  |  |  |  | 
01:58:43 | decision |  |  |  |  |  |  | 
01:58:43 | decision |  |  |  |  |  |  | 
01:58:43 | decision |  |  |  |  |  |  | 
01:58:43 | decision |  |  |  |  |  |  | 
01:58:43 | decision |  |  |  |  |  |  | 
01:58:43 | decision |  |  |  |  |  |  | 
01:58:43 | decision |  |  |  |  |  |  | 
01:58:43 | decision |  |  |  |  |  |  | 
01:58:43 | decision |  |  |  |  |  |  | 
01:58:43 | decision |  |  |  |  |  |  | 
01:58:43 | decision |  |  |  |  |  |  | 
01:58:43 | decision |  |  |  |  |  |  | 
01:58:43 | decision |  |  |  |  |  |  | 
01:58:43 | decision |  |  |  |  |  |  | 
01:58:43 | decision |  |  |  |  |  |  | 
01:58:43 | decision |  |  |  |  |  |  | 
01:58:43 | decision |  |  |  |  |  |  | 
01:58:43 | decision |  |  |  |  |  |  | 
01:58:43 | decision |  |  |  |  |  |  | 
01:58:43 | decision |  |  |  |  |  |  | 
01:58:43 | decision |  |  |  |  |  |  | 
01:58:43 | decision |  |  |  |  |  |  | 
01:58:43 | decision |  |  |  |  |  |  | 
01:58:43 | decision |  |  |  |  |  |  | 
01:58:43 | decision |  |  |  |  |  |  | 
01:58:43 | decision |  |  |  |  |  |  | 
01:58:43 | decision |  |  |  |  |  |  | 
01:58:43 | decision |  |  |  |  |  |  | 
